doc_name,relative_path,section_count
v6.5-performance-benchmarking-with-sysbench.md,tidb-cloud/v6.5-performance-benchmarking-with-sysbench.md,12
tidb-cloud-sql-tuning-overview.md,tidb-cloud/tidb-cloud-sql-tuning-overview.md,12
readme.md,node_modules/indent-string/readme.md,12
readme.md,node_modules/micromark-factory-label/readme.md,12
readme.md,node_modules/micromark-factory-title/readme.md,12
readme.md,node_modules/mdast-util-find-and-replace/readme.md,12
readme.md,node_modules/micromark-factory-space/readme.md,12
readme.md,node_modules/micromark-factory-destination/readme.md,12
README.md,node_modules/@octokit/plugin-paginate-rest/README.md,12
README.md,node_modules/@octokit/auth-token/README.md,12
README.md,node_modules/@octokit/core/README.md,12
README.md,node_modules/@octokit/endpoint/README.md,12
readme.md,node_modules/micromark-factory-mdx-expression/readme.md,12
sql-statement-create-index.md,sql-statements/sql-statement-create-index.md,12
sql-statement-admin.md,sql-statements/sql-statement-admin.md,12
sql-statement-backup.md,sql-statements/sql-statement-backup.md,12
monitor-a-dm-cluster.md,dm/monitor-a-dm-cluster.md,12
shard-merge-best-practices.md,dm/shard-merge-best-practices.md,12
window-functions.md,functions-and-operators/window-functions.md,12
json-functions.md,functions-and-operators/json-functions.md,12
tiup-component-cluster-deploy.md,tiup/tiup-component-cluster-deploy.md,12
tiup-component-cluster-patch.md,tiup/tiup-component-cluster-patch.md,12
tiup-component-dm-patch.md,tiup/tiup-component-dm-patch.md,12
monitor-tidb-lightning.md,tidb-lightning/monitor-tidb-lightning.md,12
tidb-lightning-logical-import-mode-usage.md,tidb-lightning/tidb-lightning-logical-import-mode-usage.md,12
clinic-user-guide-for-tiup.md,clinic/clinic-user-guide-for-tiup.md,12
